Task ID,Priority,Type,Description,Dependency,Start Date,Due Date,State,Assignees,Comments
T-A-001,,Coding,Coding: /home,,,,Done,Patrick,
T-A-002,,Coding,Coding: /charts,,,,Done,Patrick,
T-A-003,,Coding,Coding: /charts/new,,,,Done,Patrick,
T-A-004,,Coding,Coding: /charts/:id,,,,Done,Patrick,
T-A-005,,Coding,Coding: /charts/:id/settings,,,,Done,Merlin,
T-A-006,,Coding,Coding: /chart-sets,,,,Done,Patrick,
T-A-007,,Coding,Coding: /chart-set,,,,Done,Patrick,
T-A-008,,Coding,Coding: /chart-sets/new,,,,Done,Patrick,
T-A-009,,Coding,Coding: /chart-sets/:id/settings,,,,Done,Patrick,
T-A-010,1,UI,UI: /home,,,,,Patrick,
T-A-011,,UI,UI: /charts,,,,,Jory,
T-A-012,,UI,UI: /charts/new,,,,,Jory,
T-A-013,1,UI,UI: /charts/:id,,,,Done,Tweety,
T-A-014,,UI, UI: /charts/:id/settings,,,,Done,Tweety,
T-A-015,,UI,UI: /chart-sets,,,,,Jory,
T-A-016,1,UI,UI: /chart-sets/:id,,,,,Jory,
T-A-017,,UI,UI: /chart-sets/new,,,,,Owen,
T-A-018,,UI,UI: /chart-sets/:id/settings,,,,,Owen,
T-A-019,,Coding,Add `description` field to chart,,,,Done,Tweety,
T-A-020,,Coding,Confirm delete chart,,,,Done,Tweety,
T-A-021,,Coding,Confirm delete chart set,,,,Done,Tweety,
T-A-022,,Coding,Excel uploading progress indicator,,,,,,
T-A-023,,Coding / UI,Show chart description,T-A-019,,,Done,Patrick,
T-A-024,1,UI,Chart tool bar design,,,,,,"Settings button, refresh button, etc"
T-A-025,,Coding,Refresh chart data on chart tool bar,,,,,,
T-A-026,,Coding,Auto-refresh chart data on chart tool bar,,,,,,
T-A-027,,UI,Chart set tool bar design,,,,,,"Settings button, refresh button, etc"
T-A-028,,Coding,Chart set tool bar design,,,,,,
T-A-029,,Design,Chart set display layout configuration,,,,,,"Number of charts showing on one line, etc"
T-A-030,1,Design,Share chart and chart set on toolbar,,,,Done,Patrick,"Share via sending email, or popup a lint, or else"
T-A-031,2,Coding,Add share chart icon and functionality on toolbar,T-A-030,,,,,
T-A-032,2,Coding,Add share chart set icon and functionality on toolbar,T-A-030,,,,,
T-A-033,,UI,Hottest charts and chart sets,,,,,,
T-A-034,,Coding,Hottest charts and chart sets,,,,,,
T-A-035,,UI,Newest charts and chart sets,,,,,,
T-A-036,,Coding,Newest charts and chart sets,,,,,,
T-A-037,,Design,TV mode on chart,,,,,,
T-A-038,1+,Design,Take photos to track our meetings,,,,,,Record beautiful moments
T-A-039,,Coding,Refresh chart set data on chart tool bar,,,,,,
T-A-040,,Coding,Auto-refresh chart set data on chart tool bar,,,,,,
T-A-041,1,Coding,If user doesn't input friendlyUrl leave it blank when post,,,,Done,Patrick,
T-A-042,1,Coding/UI,Link to the chart after creating the chart in chart setting page,,,,Done,Tweety,
T-A-043,1,Desgin,Workflow for identify the icons on chart sets related pages,,,,,,
T-A-044,,Coding,Google chart default options client side,,,,,Patrick,
T-A-045,2,Research,Google chart to image/PDF,,,,,,
T-A-046,,,,,,,,,
T-A-047,,,,,,,,,
T-A-048,,,,,,,,,
T-A-049,,,,,,,,,
T-A-050,,,,,,,,,
